access_event_id,timestamp,staff_id,physical_asset_id,entry_point,access_result
LOG-P001,2026-02-20T07:45:00Z,TECH-442,WT-G-001,Tower_Base_Door,SUCCESS
LOG-P002,2026-02-21T09:00:00Z,TECH-109,WT-G-003,Tower_Base_Door,SUCCESS
LOG-P003,2026-02-21T10:45:00Z,TECH-442,PITCH-MOT-03,Nacelle_Hatch,SUCCESS
LOG-P004,2026-02-22T14:15:00Z,TECH-885,YAW-DRIVE-B2,Tower_Base_Door,SUCCESS
LOG-P005,2026-02-22T15:50:00Z,TECH-442,WT-G-008,Tower_Base_Door,SUCCESS
LOG-P006,2026-02-23T06:45:00Z,TECH-109,WT-G-001,Tower_Base_Door,SUCCESS
LOG-P007,2026-02-23T08:15:00Z,TECH-202,PITCH-MOT-11,Nacelle_Hatch,SUCCESS
LOG-P008,2026-02-23T08:45:00Z,TECH-885,CONV-DC-AC-05,Substation_Gate_4,SUCCESS
LOG-P009,2026-02-23T09:05:00Z,TECH-109,WT-G-015,Tower_Base_Door,SUCCESS
LOG-P010,2026-02-23T09:30:00Z,TECH-442,NAC-TEMP-S04,Nacelle_Hatch,SUCCESS
LOG-P011,2026-02-23T09:50:00Z,TECH-202,WT-G-002,Tower_Base_Door,SUCCESS
LOG-P012,2026-02-23T10:05:00Z,TECH-551,WT-G-004,Tower_Base_Door,SUCCESS
LOG-P013,2026-02-23T10:20:00Z,TECH-109,PITCH-MOT-01,Nacelle_Hatch,SUCCESS
LOG-P014,2026-02-23T10:35:00Z,TECH-442,PITCH-MOT-05,Nacelle_Hatch,SUCCESS
LOG-P015,2026-02-23T10:50:00Z,TECH-885,YAW-DRIVE-A1,Tower_Base_Door,SUCCESS
LOG-P016,2026-02-23T11:05:00Z,TECH-202,YAW-DRIVE-A3,Tower_Base_Door,SUCCESS
LOG-P017,2026-02-23T11:20:00Z,TECH-109,NAC-TEMP-S01,Nacelle_Hatch,SUCCESS
LOG-P018,2026-02-23T11:35:00Z,TECH-551,BRAKE-SYS-01,Tower_Base_Door,SUCCESS
LOG-P019,2026-02-23T11:50:00Z,TECH-442,CONV-DC-AC-01,Substation_Gate_4,SUCCESS
LOG-P020,2026-02-23T12:05:00Z,TECH-885,MET-SENSE-N1,Exterior_Fence,SUCCESS
