packet_id,timestamp,src_ip,dest_ip,unit_id,function_code,function_name,register_address,payload_hex,status
PKT-1001,2026-02-23T08:05:10Z,10.10.10.5,10.10.20.11,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1002,2026-02-23T08:05:12Z,10.10.10.5,10.10.20.11,1,3,READ_HOLDING_REGISTERS,40002,01F4,SUCCESS
PKT-1003,2026-02-23T08:10:45Z,10.10.20.55,10.10.20.11,1,16,WRITE_MULTIPLE_REGISTERS,40105,0001,SUCCESS
PKT-1004,2026-02-23T08:15:20Z,10.10.10.5,10.10.20.13,1,1,READ_COILS,00001,01,SUCCESS
PKT-1005,2026-02-23T09:00:05Z,10.10.10.5,10.10.20.11,1,5,WRITE_SINGLE_COIL,00010,FF00,SUCCESS
PKT-1006,2026-02-23T09:30:12Z,192.168.1.50,10.10.20.57,1,5,WRITE_SINGLE_COIL,00010,FF00,ILLEGAL_ADDRESS
PKT-1007,2026-02-23T10:00:00Z,10.10.10.5,10.10.25.101,1,3,READ_HOLDING_REGISTERS,40001,0A2B,SUCCESS
PKT-1008,2026-02-23T10:45:33Z,10.10.10.5,10.10.40.50,1,4,READ_INPUT_REGISTERS,30005,0000,SUCCESS
PKT-1009,2026-02-23T11:15:10Z,172.16.50.44,10.10.20.11,1,6,WRITE_SINGLE_REGISTER,40050,03E8,SUCCESS
PKT-1010,2026-02-23T12:00:01Z,10.10.10.5,10.10.20.18,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1011,2026-02-23T13:22:45Z,10.10.10.5,10.10.20.11,1,16,WRITE_MULTIPLE_REGISTERS,40105,0000,SUCCESS
PKT-1012,2026-02-23T14:10:05Z,10.10.10.5,10.10.21.12,1,1,READ_COILS,00005,00,SUCCESS
PKT-1013,2026-02-23T15:05:55Z,10.10.10.5,10.10.25.104,1,3,READ_HOLDING_REGISTERS,40010,0258,SUCCESS
PKT-1014,2026-02-23T16:45:20Z,10.10.10.5,10.10.40.50,1,5,WRITE_SINGLE_COIL,00012,0000,SUCCESS
PKT-1015,2026-02-24T08:10:00Z,10.10.10.5,10.10.20.11,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1016,2026-02-24T08:15:00Z,45.33.12.11,10.10.20.11,1,5,WRITE_SINGLE_COIL,00001,FF00,UNAUTHORIZED_MASTER
PKT-1017,2026-02-24T09:30:12Z,10.10.10.5,10.10.21.10,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1018,2026-02-24T10:45:00Z,10.10.10.5,10.10.20.57,1,16,WRITE_MULTIPLE_REGISTERS,40110,0001,SUCCESS
PKT-1019,2026-02-24T11:20:33Z,10.10.10.5,10.10.20.13,1,1,READ_COILS,00002,01,SUCCESS
PKT-1020,2026-02-24T12:05:10Z,10.10.10.5,10.10.40.50,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1021,2026-02-24T13:45:00Z,10.10.10.5,10.10.50.20,1,4,READ_INPUT_REGISTERS,30001,0A12,SUCCESS
PKT-1022,2026-02-24T14:15:22Z,10.10.10.5,10.10.20.11,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1023,2026-02-24T15:30:45Z,10.10.10.5,10.10.20.13,1,1,READ_COILS,00001,01,SUCCESS
PKT-1024,2026-02-24T16:55:10Z,10.10.10.5,10.10.25.101,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1025,2026-02-25T08:00:05Z,10.10.10.5,10.10.40.50,1,5,WRITE_SINGLE_COIL,00010,FF00,SUCCESS
PKT-1026,2026-02-25T08:15:30Z,10.10.10.5,10.10.21.15,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1027,2026-02-25T09:20:12Z,10.10.10.5,10.10.21.16,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1028,2026-02-25T10:45:44Z,10.10.10.5,10.10.20.21,1,16,WRITE_MULTIPLE_REGISTERS,40105,0001,SUCCESS
PKT-1029,2026-02-25T11:30:00Z,10.10.10.5,10.10.20.65,1,1,READ_COILS,00005,00,SUCCESS
PKT-1030,2026-02-25T12:15:10Z,10.10.10.5,10.10.30.18,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1031,2026-02-25T13:40:22Z,10.10.10.5,10.10.40.58,1,4,READ_INPUT_REGISTERS,30005,0000,SUCCESS
PKT-1032,2026-02-25T14:50:33Z,10.10.10.5,10.10.20.11,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1033,2026-02-25T15:55:05Z,10.10.10.5,10.10.20.12,1,1,READ_COILS,00001,01,SUCCESS
PKT-1034,2026-02-26T08:10:15Z,10.10.10.5,10.10.25.111,1,16,WRITE_MULTIPLE_REGISTERS,40105,0001,SUCCESS
PKT-1035,2026-02-26T09:25:44Z,10.10.10.5,10.10.40.59,1,1,READ_COILS,00005,00,SUCCESS
PKT-1036,2026-02-26T10:40:22Z,10.10.10.5,10.10.21.20,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1037,2026-02-26T11:55:05Z,10.10.10.5,10.10.21.21,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
