work_order_ref,target_asset_id,operator_signature,action_performed,timestamp_start,completion_status
WO-9901,WT-G-001,TECH-442,Firmware_Update,2026-02-20T08:00:00Z,SUCCESS
WO-9902,WT-G-003,TECH-109,Manual_Override,2026-02-21T09:15:00Z,SUCCESS
WO-9903,PITCH-MOT-03,TECH-442,Brake_Check,2026-02-21T11:00:00Z,IN_PROGRESS
WO-9904,YAW-DRIVE-B2,TECH-885,Logic_Reset,2026-02-22T14:30:00Z,FAILED
WO-9905,WT-G-008,TECH-442,General_Inspection,2026-02-22T16:00:00Z,SUCCESS
WO-9906,WT-G-001,TECH-109,Sensor_Calibration,2026-02-23T07:00:00Z,SUCCESS
WO-9907,PITCH-MOT-11,TECH-202,Firmware_Update,2026-02-23T08:30:00Z,SUCCESS
WO-9908,CONV-DC-AC-05,TECH-885,Power_Cycle,2026-02-23T09:00:00Z,SUCCESS
WO-9909,WT-G-015,TECH-109,Manual_Override,2026-02-23T09:15:00Z,SUCCESS
WO-9910,NAC-TEMP-S04,TECH-442,Battery_Replacement,2026-02-23T09:45:00Z,SUCCESS
WO-9911,WT-G-002,TECH-202,Routine_Audit,2026-02-23T10:00:00Z,SUCCESS
WO-9912,WT-G-004,TECH-551,Security_Patch,2026-02-23T10:15:00Z,SUCCESS
WO-9913,PITCH-MOT-01,TECH-109,Lubrication,2026-02-23T10:30:00Z,SUCCESS
WO-9914,PITCH-MOT-05,TECH-442,Firmware_Update,2026-02-23T10:45:00Z,SUCCESS
WO-9915,YAW-DRIVE-A1,TECH-885,Torque_Adjust,2026-02-23T11:00:00Z,SUCCESS
WO-9916,YAW-DRIVE-A3,TECH-202,Firmware_Update,2026-02-23T11:15:00Z,SUCCESS
WO-9917,NAC-TEMP-S01,TECH-109,Recalibration,2026-02-23T11:30:00Z,SUCCESS
WO-9918,BRAKE-SYS-01,TECH-551,Hydraulic_Flush,2026-02-23T11:45:00Z,SUCCESS
WO-9919,CONV-DC-AC-01,TECH-442,Capacitor_Test,2026-02-23T12:00:00Z,SUCCESS
WO-9920,MET-SENSE-N1,TECH-885,Clean_Optics,2026-02-23T12:15:00Z,SUCCESS
WO-9921,WT-G-005,TECH-202,General_Inspection,2026-02-23T12:30:00Z,SUCCESS
WO-9922,WT-G-006,TECH-109,Firmware_Update,2026-02-23T12:45:00Z,SUCCESS
WO-9923,WT-G-007,TECH-442,Routine_Audit,2026-02-23T13:00:00Z,SUCCESS
WO-9924,PITCH-MOT-02,TECH-885,Manual_Override,2026-02-23T13:15:00Z,SUCCESS
WO-9925,PITCH-MOT-04,TECH-202,Firmware_Update,2026-02-23T13:30:00Z,SUCCESS
WO-9926,PITCH-MOT-06,TECH-551,Sensor_Check,2026-02-23T13:45:00Z,SUCCESS
WO-9927,YAW-DRIVE-C1,TECH-109,Gearbox_Inspect,2026-02-23T14:00:00Z,SUCCESS
WO-9928,YAW-DRIVE-C2,TECH-442,Logic_Reset,2026-02-23T14:15:00Z,SUCCESS
WO-9929,NAC-TEMP-S02,TECH-885,Battery_Replacement,2026-02-23T14:30:00Z,SUCCESS
WO-9930,BRAKE-SYS-02,TECH-202,Firmware_Update,2026-02-23T14:45:00Z,SUCCESS
WO-9931,WT-G-009,TECH-109,General_Inspection,2026-02-23T15:00:00Z,SUCCESS
WO-9932,WT-G-010,TECH-442,Security_Patch,2026-02-23T15:15:00Z,SUCCESS
WO-9933,PITCH-MOT-07,TECH-885,Lubrication,2026-02-23T15:30:00Z,SUCCESS
WO-9934,PITCH-MOT-08,TECH-202,Firmware_Update,2026-02-23T15:45:00Z,SUCCESS
WO-9935,YAW-DRIVE-D1,TECH-551,Torque_Adjust,2026-02-23T16:00:00Z,SUCCESS
WO-9936,YAW-DRIVE-D2,TECH-109,Firmware_Update,2026-02-23T16:15:00Z,SUCCESS
WO-9937,NAC-TEMP-S03,TECH-442,Recalibration,2026-02-23T16:30:00Z,SUCCESS
WO-9938,BRAKE-SYS-03,TECH-885,Hydraulic_Flush,2026-02-23T16:45:00Z,SUCCESS
WO-9939,CONV-DC-AC-02,TECH-202,Capacitor_Test,2026-02-23T17:00:00Z,SUCCESS
WO-9940,MET-SENSE-N2,TECH-109,Clean_Optics,2026-02-23T17:15:00Z,SUCCESS
WO-9941,WT-G-011,TECH-442,General_Inspection,2026-02-24T08:00:00Z,SUCCESS
WO-9942,WT-G-012,TECH-885,Firmware_Update,2026-02-24T08:15:00Z,SUCCESS
WO-9943,PITCH-MOT-09,TECH-202,Routine_Audit,2026-02-24T08:30:00Z,SUCCESS
WO-9944,PITCH-MOT-10,TECH-551,Manual_Override,2026-02-24T08:45:00Z,SUCCESS
WO-9945,YAW-DRIVE-E1,TECH-109,Firmware_Update,2026-02-24T09:00:00Z,SUCCESS
WO-9946,YAW-DRIVE-E2,TECH-442,Sensor_Check,2026-02-24T09:15:00Z,SUCCESS
WO-9947,NAC-TEMP-S05,TECH-885,Battery_Replacement,2026-02-24T09:30:00Z,SUCCESS
WO-9948,BRAKE-SYS-04,TECH-202,Firmware_Update,2026-02-24T09:45:00Z,SUCCESS
WO-9949,CONV-DC-AC-03,TECH-109,Power_Cycle,2026-02-24T10:00:00Z,SUCCESS
WO-9950,MET-SENSE-N3,TECH-442,Recalibration,2026-02-24T10:15:00Z,SUCCESS
WO-9951,WT-G-013,TECH-885,General_Inspection,2026-02-24T10:30:00Z,SUCCESS
WO-9952,WT-G-014,TECH-202,Security_Patch,2026-02-24T10:45:00Z,SUCCESS
WO-9953,PITCH-MOT-12,TECH-551,Lubrication,2026-02-24T11:00:00Z,SUCCESS
WO-9954,PITCH-MOT-13,TECH-109,Firmware_Update,2026-02-24T11:15:00Z,SUCCESS
WO-9955,YAW-DRIVE-F1,TECH-442,Torque_Adjust,2026-02-24T11:30:00Z,SUCCESS
WO-9956,YAW-DRIVE-F2,TECH-885,Firmware_Update,2026-02-24T11:45:00Z,SUCCESS
WO-9957,NAC-TEMP-S06,TECH-202,Recalibration,2026-02-24T12:00:00Z,SUCCESS
WO-9958,BRAKE-SYS-05,TECH-109,Hydraulic_Flush,2026-02-24T12:15:00Z,SUCCESS
WO-9959,CONV-DC-AC-04,TECH-442,Capacitor_Test,2026-02-24T12:30:00Z,SUCCESS
WO-9960,MET-SENSE-N4,TECH-885,Clean_Optics,2026-02-24T12:45:00Z,SUCCESS
WO-9961,WT-G-016,TECH-202,General_Inspection,2026-02-24T13:00:00Z,SUCCESS
WO-9962,WT-G-017,TECH-551,Firmware_Update,2026-02-24T13:15:00Z,SUCCESS
WO-9963,PITCH-MOT-14,TECH-109,Routine_Audit,2026-02-24T13:30:00Z,SUCCESS
WO-9964,PITCH-MOT-15,TECH-442,Manual_Override,2026-02-24T13:45:00Z,SUCCESS
WO-9965,YAW-DRIVE-A2,TECH-885,Firmware_Update,2026-02-24T14:00:00Z,SUCCESS
WO-9966,YAW-DRIVE-B1,TECH-202,Sensor_Check,2026-02-24T14:15:00Z,SUCCESS
WO-9967,NAC-TEMP-S07,TECH-109,Battery_Replacement,2026-02-24T14:30:00Z,SUCCESS
WO-9968,BRAKE-SYS-06,TECH-442,Firmware_Update,2026-02-24T14:45:00Z,SUCCESS
WO-9969,CONV-DC-AC-06,TECH-885,Power_Cycle,2026-02-24T15:00:00Z,SUCCESS
WO-9970,MET-SENSE-N5,TECH-202,Recalibration,2026-02-24T15:15:00Z,SUCCESS
WO-9971,WT-G-018,TECH-109,General_Inspection,2026-02-24T15:30:00Z,SUCCESS
WO-9972,WT-G-019,TECH-442,Security_Patch,2026-02-24T15:45:00Z,SUCCESS
WO-9973,PITCH-MOT-16,TECH-885,Lubrication,2026-02-24T16:00:00Z,SUCCESS
WO-9974,PITCH-MOT-17,TECH-202,Firmware_Update,2026-02-24T16:15:00Z,SUCCESS
WO-9975,YAW-DRIVE-C3,TECH-551,Torque_Adjust,2026-02-24T16:30:00Z,SUCCESS
WO-9976,YAW-DRIVE-E3,TECH-109,Firmware_Update,2026-02-24T16:45:00Z,SUCCESS
