Device_Serial,Modbus_Address,cur_firmware,oper_status,volt_out,ip_v4,last_comm_timestamp
WT-G-001,40001,v2.1.4,ONLINE,690.2,10.10.20.11,2026-02-23T10:00:01Z
WT-G-002,40001,v2.1.4,ONLINE,689.8,10.10.20.12,2026-02-23T10:00:05Z
WT-G-003,40001,v2.1.2,OFFLINE,0.0,10.10.20.13,2026-02-23T08:00:00Z
WT-G-004,40001,v2.1.4,ONLINE,691.1,10.10.20.14,2026-02-23T10:02:15Z
WT-G-005,40001,v2.1.4,ONLINE,690.5,10.10.20.15,2026-02-23T10:02:20Z
PITCH-MOT-01,40102,v1.0.9,ONLINE,24.1,10.10.20.55,2026-02-23T10:01:12Z
PITCH-MOT-02,40102,v1.0.9,ONLINE,23.8,10.10.20.56,2026-02-23T10:01:15Z
PITCH-MOT-03,40102,v1.0.8,DEGRADED,21.5,10.10.20.57,2026-02-23T10:01:20Z
PITCH-MOT-04,40102,v1.0.9,ONLINE,24.0,10.10.20.58,2026-02-23T10:01:25Z
PITCH-MOT-05,40102,v1.0.9,ONLINE,24.2,10.10.20.59,2026-02-23T10:01:30Z
YAW-DRIVE-A1,40205,v3.2.0,ONLINE,480.0,10.10.21.10,2026-02-23T10:03:00Z
YAW-DRIVE-A2,40205,v3.2.0,ONLINE,480.2,10.10.21.11,2026-02-23T10:03:05Z
YAW-DRIVE-A3,40205,v3.1.9,ONLINE,479.5,10.10.21.12,2026-02-23T10:03:10Z
YAW-DRIVE-B1,40205,v3.2.0,ONLINE,480.1,10.10.21.13,2026-02-23T10:03:15Z
YAW-DRIVE-B2,40205,v3.2.0,FAULT,0.0,10.10.21.14,2026-02-23T09:45:22Z
NAC-TEMP-S01,30005,v1.1,ONLINE,5.0,10.10.25.101,2026-02-23T10:05:22Z
NAC-TEMP-S02,30005,v1.1,ONLINE,5.1,10.10.25.102,2026-02-23T10:05:25Z
NAC-TEMP-S03,30005,v1.1,ONLINE,4.9,10.10.25.103,2026-02-23T10:05:30Z
NAC-TEMP-S04,30005,v1.0,ONLINE,5.0,10.10.25.104,2026-02-23T10:05:35Z
NAC-TEMP-S05,30005,v1.1,ONLINE,5.0,10.10.25.105,2026-02-23T10:05:40Z
BRAKE-SYS-01,40500,v2.0.1,ONLINE,110.5,10.10.30.10,2026-02-23T10:06:01Z
BRAKE-SYS-02,40500,v2.0.1,ONLINE,110.2,10.10.30.11,2026-02-23T10:06:05Z
BRAKE-SYS-03,40500,v2.0.1,ONLINE,110.8,10.10.30.12,2026-02-23T10:06:10Z
BRAKE-SYS-04,40500,v2.0.1,ONLINE,109.9,10.10.30.13,2026-02-23T10:06:15Z
CONV-DC-AC-01,50001,v4.4.0,ONLINE,690.0,10.10.40.50,2026-02-23T10:07:01Z
CONV-DC-AC-02,50001,v4.4.0,ONLINE,690.5,10.10.40.51,2026-02-23T10:07:05Z
CONV-DC-AC-03,50001,v4.4.0,ONLINE,689.7,10.10.40.52,2026-02-23T10:07:10Z
CONV-DC-AC-04,50001,v4.4.0,ONLINE,690.2,10.10.40.53,2026-02-23T10:07:15Z
MET-SENSE-N1,30010,v1.2,ONLINE,12.0,10.10.50.20,2026-02-23T10:08:00Z
MET-SENSE-N2,30010,v1.2,ONLINE,12.1,10.10.50.21,2026-02-23T10:08:05Z
WT-G-006,40001,v2.1.4,ONLINE,690.3,10.10.20.16,2026-02-23T10:02:25Z
WT-G-007,40001,v2.1.4,ONLINE,690.1,10.10.20.17,2026-02-23T10:02:30Z
WT-G-008,40001,v2.1.2,ONLINE,688.5,10.10.20.18,2026-02-23T10:02:35Z
WT-G-009,40001,v2.1.4,ONLINE,690.0,10.10.20.19,2026-02-23T10:02:40Z
WT-G-010,40001,v2.1.4,ONLINE,690.2,10.10.20.20,2026-02-23T10:02:45Z
PITCH-MOT-06,40102,v1.0.9,ONLINE,24.1,10.10.20.60,2026-02-23T10:01:35Z
PITCH-MOT-07,40102,v1.0.9,ONLINE,24.0,10.10.20.61,2026-02-23T10:01:40Z
PITCH-MOT-08,40102,v1.0.9,ONLINE,23.9,10.10.20.62,2026-02-23T10:01:45Z
PITCH-MOT-09,40102,v1.0.9,ONLINE,24.1,10.10.20.63,2026-02-23T10:01:50Z
PITCH-MOT-10,40102,v1.0.9,ONLINE,24.2,10.10.20.64,2026-02-23T10:01:55Z
YAW-DRIVE-C1,40205,v3.2.0,ONLINE,480.0,10.10.21.15,2026-02-23T10:03:20Z
YAW-DRIVE-C2,40205,v3.2.0,ONLINE,480.3,10.10.21.16,2026-02-23T10:03:25Z
YAW-DRIVE-C3,40205,v3.2.0,ONLINE,479.9,10.10.21.17,2026-02-23T10:03:30Z
YAW-DRIVE-D1,40205,v3.2.0,ONLINE,480.1,10.10.21.18,2026-02-23T10:03:35Z
YAW-DRIVE-D2,40205,v3.2.0,ONLINE,480.2,10.10.21.19,2026-02-23T10:03:40Z
NAC-TEMP-S06,30005,v1.1,ONLINE,5.0,10.10.25.106,2026-02-23T10:05:45Z
NAC-TEMP-S07,30005,v1.1,ONLINE,5.1,10.10.25.107,2026-02-23T10:05:50Z
NAC-TEMP-S08,30005,v1.1,ONLINE,4.9,10.10.25.108,2026-02-23T10:05:55Z
NAC-TEMP-S09,30005,v1.1,ONLINE,5.0,10.10.25.109,2026-02-23T10:06:00Z
NAC-TEMP-S10,30005,v1.1,ONLINE,5.0,10.10.25.110,2026-02-23T10:06:05Z
BRAKE-SYS-05,40500,v2.0.1,ONLINE,110.4,10.10.30.14,2026-02-23T10:06:20Z
BRAKE-SYS-06,40500,v2.0.1,ONLINE,110.1,10.10.30.15,2026-02-23T10:06:25Z
